site_id,latitude,longitude,igbp,bowen_ratio,bowen_std,bowen_median,mean_H,mean_LE,mean_netrad,mean_TA,n_valid_months,total_months,biome_group,ceres_sfc_net_sw_mean,ceres_sfc_net_sw_std,ceres_sfc_net_lw_mean,ceres_sfc_net_lw_std,ceres_toa_net_mean,ceres_toa_net_std,ceres_toa_sw_up_mean,ceres_toa_sw_up_std,ceres_toa_lw_up_mean,ceres_toa_lw_up_std,ceres_toa_net_clr_mean,ceres_toa_net_clr_std,ceres_toa_sw_clr_mean,ceres_toa_sw_clr_std,ceres_toa_lw_clr_mean,ceres_toa_lw_clr_std,ceres_toa_cre_sw_mean,ceres_toa_cre_sw_std,ceres_toa_cre_lw_mean,ceres_toa_cre_lw_std,ceres_toa_cre_net_mean,ceres_toa_cre_net_std,ceres_sfc_net_rad,ceres_atm_absorption,forcing_proxy_raw,forcing_proxy,cre_jja,cre_djf,era5_cape,era5_tcwv,era5_blh,era5_precip,source,eta
US-xNG,46.7697,-100.9154,GRA,0.7159267272259022,1.734671802153432,0.6049948478828615,38.48896528439057,53.76103981133509,83.838419919941,9.600696982044306,1475,1826.0,Grassland,127.57466888427734,74.83551788330078,-54.50740051269531,15.731612205505373,-31.08171844482422,86.17598724365234,106.87842559814452,33.85956573486328,226.09556579589844,22.68847846984864,-19.84103775024414,100.21501159667967,72.9091796875,21.678485870361328,248.8206024169922,23.81046295166016,-33.9692497253418,21.21042251586914,22.725032806396484,5.637485027313232,-11.244216918945312,18.31365203857422,73.06726837158203,-104.14898681640624,0.4590850509962432,0.9027572188108188,,,107.44739532470705,13.54799747467041,571.332275390625,554.7151196515188,FluxDataKit-v3,0.20915177530800955
US-ICt,68.6063,-149.3041,OSH,0.7167511917875458,0.8421729061662804,0.9027101395438568,32.593792298542986,45.47434684727278,85.40221366183629,5.098459768987661,2158,5479.0,Shrubland,62.09526443481445,66.1818618774414,-45.30322265625,8.934037208557129,-95.32708740234376,86.5584945678711,95.59366607666016,74.2569808959961,202.77407836914065,19.94131660461425,-83.91482543945312,110.7252960205078,69.4986801147461,57.40804672241211,217.4560089111328,23.667774200439453,-26.094989776611328,30.92461204528809,14.6819486618042,6.731945514678955,-11.413039207458496,27.05357360839844,16.792041778564453,-112.1191291809082,0.3816504385659524,0.7504877096957528,,,4.468229293823242,6.057953834533691,199.67222595214844,549.1630831966177,FluxDataKit-v3,0.25097752906247556
DE-Obe,50.786659240722656,13.72128963470459,ENF,0.7246341196494935,1.5360312946286596,0.893562041096069,42.85420039225328,59.13908720304519,91.51600663450516,9.795720787976707,3301,4749.0,Forest,102.85603332519533,62.44528579711914,-46.6266975402832,13.438018798828123,-48.97403335571289,84.27885437011719,109.96884155273438,45.16421508789063,222.50271606445312,16.614200592041016,-22.394086837768555,105.04784393310548,57.66546249389648,22.96205711364746,248.2275238037109,15.234984397888184,-52.30338287353516,24.62090301513672,25.72480201721192,6.153929233551025,-26.578577041625977,23.85729217529297,56.22933578491211,-105.203369140625,0.4682699996231647,0.9208187493689718,-48.77754592895508,0.2895413935184479,36.70911407470703,14.487906455993652,523.2527465820312,865.9115177579224,FluxDataKit-v3,0.4494248778370964
US-Ro4,44.6781,-93.0723,GRA,0.7251589839093578,1.9208630636336987,0.8618639434038791,36.41593090455392,50.217858031950925,79.85559478889411,9.597908208651637,2570,2922.0,Grassland,125.47517395019533,67.41458892822266,-50.87247467041016,12.046003341674805,-30.28612327575684,81.00703430175781,114.14099884033205,34.127872467041016,226.9146728515625,20.89365005493164,-12.554998397827148,95.54048919677734,72.80475616455078,21.59616470336914,250.521224975586,23.604984283447266,-41.336238861083984,24.644102096557617,23.606557846069336,7.2905049324035645,-17.729679107666016,20.066858291625977,74.60269927978516,-104.888822555542,0.4560222862383394,0.8967345156347584,,,117.87004852294922,15.982901573181152,592.1942749023438,879.2882959824055,FluxDataKit-v3,0.3530552636551239
US-NGC,64.8618,-163.7002,GRA,0.7342335508456918,0.4519212937523315,1.2410870685794058,28.058168094761893,38.214227696956144,57.77475652426531,2.775595027318858,881,1095.0,Grassland,80.10135650634766,71.5134506225586,-47.15034484863281,7.874764442443848,-83.30947875976562,95.84552001953124,88.53744506835938,61.3144645690918,212.51638793945312,15.93496799468994,-66.85882568359375,130.56796264648438,51.77814865112305,40.13808059692383,232.8275451660156,20.696569442749023,-36.7593002319336,42.37176132202149,20.311153411865234,8.778383255004883,-16.448144912719727,38.80071258544922,32.951011657714844,-116.26049041748048,0.4856475350610522,0.954990403461499,,,5.344270706176758,9.361559867858888,352.9917907714844,675.64342985861,FluxDataKit-v3,0.43041939884682956
US-xRM,40.2759,-105.5459,ENF,0.738076821525937,1.1046385603616202,1.010486583341864,46.33748092118741,62.78137934935686,90.6845952263492,5.285000260060008,1821,1826.0,Forest,151.67056274414062,60.34901428222656,-79.84113311767578,12.706049919128418,-9.655288696289062,70.16608428955078,112.9595947265625,36.385501861572266,224.45120239257807,18.5706844329834,11.55972385406494,86.8482666015625,63.13175964355469,15.2346773147583,253.0672149658203,21.324871063232425,-49.82783126831055,24.31688117980957,28.61602783203125,6.757352352142334,-21.211803436279297,20.390735626220703,71.82942962646484,-81.4847183227539,0.5109741164475492,1.0047932757720743,,,75.64167022705078,7.169005393981934,593.8485717773438,883.6379903368652,FluxDataKit-v3,0.3378677508540053
FR-Bil,44.49389,-0.95594,ENF,0.7464998486594321,1.094325105022118,0.7471686051749212,48.12856889930766,64.47230898403686,103.85283749351922,14.451743877221306,2421,2557.0,Forest,134.52691650390625,63.28048324584961,-49.39058303833008,9.608003616333008,-27.415802001953125,80.49178314208984,103.03038024902344,36.25371551513672,235.14540100097656,17.00848388671875,-5.006877422332764,97.11878967285156,55.30624008178711,18.74034118652344,260.4596862792969,13.010339736938477,-47.72413635253906,20.18277931213379,25.31428909301757,7.213904857635498,-22.40984535217285,20.449462890625,85.13633346557617,-112.5521354675293,0.4634304662336361,0.9113021604632952,,,59.54036331176758,19.302663803100582,535.222412109375,838.3397432044148,FluxDataKit-v3,0.3475886889318864
DE-Hai,51.079407,10.452089,DBF,0.7479291912317474,1.2670135561513236,0.7950938248835577,38.78193997335936,51.85242189770702,87.16604891700457,11.52720089305841,5257,7671.0,Forest,101.17523193359376,62.03971481323242,-47.50186538696289,12.471236228942873,-52.71896743774414,84.66361236572266,107.7569580078125,46.75262069702149,223.75906372070312,16.296340942382812,-29.641691207885746,104.49153137207033,58.867488861083984,25.941303253173828,249.5717315673828,14.885491371154783,-48.88947677612305,23.34461212158203,25.81266975402832,6.074552059173584,-23.076805114746094,22.88701629638672,53.67336654663086,-106.392333984375,0.4449202465318315,0.874903165502958,-45.17414855957031,1.8977042436599727,33.05260467529297,15.122900009155272,573.9756469726562,734.2213194351643,FluxDataKit-v3,0.4450477773298875
AU-Cum,-33.61329650878906,150.72247314453125,EBF,0.7490756378075616,0.7463001339828225,0.8404479635230744,64.00052177405327,85.43933154917939,126.55782925561796,18.61634532480792,1886,2191.0,Forest,170.5819091796875,52.04767608642578,-65.96200561523438,13.82359218597412,-3.2178423404693604,72.22769165039062,106.0041961669922,41.397735595703125,249.42730712890625,9.183428764343262,26.43192481994629,89.537841796875,53.66679382324219,15.173511505126951,272.11492919921875,10.085585594177246,-52.33740234375,28.12980079650879,22.68762969970703,7.821450233459473,-29.649770736694336,21.94153594970703,104.61990356445312,-107.83774590492249,0.5057017977511831,0.994425646173404,-9.190146446228027,-53.047760009765625,61.18828201293945,19.781457901000977,599.0971069335938,874.4034625124186,FluxDataKit-v3,0.34702718524462883
CA-Cbo,44.3167,-79.9333,DBF,0.7567610059330383,2.9392466532204,1.0086085520827943,44.466332828008,58.7587527361876,99.3445946856643,9.519590799979914,7971,9862.0,Forest,123.78719329833984,70.24795532226562,-43.353248596191406,17.419469833374023,-29.176830291748047,81.58460235595703,115.75167846679688,31.97232437133789,224.1962432861328,21.51011085510254,-6.262068748474121,98.32644653320312,67.78296661376953,21.64209747314453,249.24562072753903,23.605762481689453,-47.96870040893555,24.3273983001709,25.04940223693848,6.351200103759766,-22.91929626464844,21.123538970947266,80.43394470214844,-109.61077499389648,0.4475969021636626,0.8801666132860266,,,40.25885391235352,14.956327438354492,618.2191162109375,928.1574515625834,FluxDataKit-v3,0.39005756925356233
